infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,pluperfect 1p-s,pluperfect 2p-s,pluperfect 3p-s,pluperfect 1p-p,pluperfect 2p-p,pluperfect 3p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past imperative 1p-s,past imperative 2p-s,past imperative 3p-s,past imperative 1p-p,past imperative 2p-p,past imperative 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,simple past 1p-s,simple past 2p-s,simple past 3p-s,simple past 1p-p,simple past 2p-p,simple past 3p-p,gerund
omettre,to omit,TRUE,omets,omets,omet,omettons,omettez,omettent,ai omis,as omis,a omis,avons omis,avez omis,ont omis,omettais,omettais,omettait,omettions,omettiez,omettaient,omettrai,omettras,omettra,omettrons,omettrez,omettront,omettrais,omettrais,omettrait,omettrions,omettriez,avais omis,avais omis,avait omis,avions omis,aviez omis,avaient omis,omettraient,omette,omettes,omette,omettions,omettiez,omettent,aurais omis,aurais omis,aurait omis,aurions omis,auriez omis,auraient omis,aurai omis,auras omis,aura omis,aurons omis,aurez omis,auront omis,N/A,omets,N/A,omettons,omettez,N/A,aie omis,aies omis,ait omis,ayons omis,ayez omis,aient omis,omisse,omisses,omît,omissions,omissiez,omissent,eusse omis,eusses omis,eût omis,eussions omis,eussiez omis,eussent omis,N/A,aie omis,N/A,ayons omis,ayez omis,N/A,eus omis,eus omis,eut omis,eûmes omis,eûtes omis,eurent omis,omis,omis,omit,omîmes,omîtes,omirent,omettant
peigner,to comb,FALSE,peigne,peignes,peigne,peignons,peignez,peignent,ai peigné,as peigné,a peigné,avons peigné,avez peigné,ont peigné,peignais,peignais,peignait,peignions,peigniez,peignaient,peignerai,peigneras,peignera,peignerons,peignerez,peigneront,peignerais,peignerais,peignerait,peignerions,peigneriez,avais peigné,avais peigné,avait peigné,avions peigné,aviez peigné,avaient peigné,peigneraient,peigne,peignes,peigne,peignions,peigniez,peignent,aurais peigné,aurais peigné,aurait peigné,aurions peigné,auriez peigné,auraient peigné,aurai peigné,auras peigné,aura peigné,aurons peigné,aurez peigné,auront peigné,N/A,peigne,N/A,peignons,peignez,N/A,aie peigné,aies peigné,ait peigné,ayons peigné,ayez peigné,aient peigné,peignasse,peignasses,peignât,peignassions,peignassiez,peignassent,eusse peigné,eusses peigné,eût peigné,eussions peigné,eussiez peigné,eussent peigné,N/A,aie peigné,N/A,ayons peigné,ayez peigné,N/A,eus peigné,eus peigné,eut peigné,eûmes peigné,eûtes peigné,eurent peigné,peignai,peignas,peigna,peignâmes,peignâtes,peignèrent,peignant
paraître,to seem,TRUE,parais,parais,paraît,paraissons,paraissez,paraissent,ai paru,as paru,a paru,avons paru,avez paru,ont paru,paraissais,paraissais,paraissait,paraissions,paraissiez,paraissaient,paraîtrai,paraîtras,paraîtra,paraîtrons,paraîtrez,paraîtront,paraîtrais,paraîtrais,paraîtrait,paraîtrions,paraîtriez,avais paru,avais paru,avait paru,avions paru,aviez paru,avaient paru,paraîtraient,paraisse,paraisses,paraisse,paraissions,paraissiez,paraissent,aurais paru,aurais paru,aurait paru,aurions paru,auriez paru,auraient paru,aurai paru,auras paru,aura paru,aurons paru,aurez paru,auront paru,N/A,parais,N/A,paraissons,paraissez,N/A,aie paru,aies paru,ait paru,ayons paru,ayez paru,aient paru,parusse,parusses,parût,parussions,parussiez,parussent,eusse paru,eusses paru,eût paru,eussions paru,eussiez paru,eussent paru,N/A,aie paru,N/A,ayons paru,ayez paru,N/A,eus paru,eus paru,eut paru,eûmes paru,eûtes paru,eurent paru,parus,parus,parut,parûmes,parûtes,parurent,paraissant
percevoir,to perceive,TRUE,perçois,perçois,perçoit,percevons,percevez,perçoivent,ai perçu,as perçu,a perçu,avons perçu,avez perçu,ont perçu,percevais,percevais,percevait,percevions,perceviez,percevaient,percevrai,percevras,percevra,percevrons,percevrez,percevront,percevrais,percevrais,percevrait,percevrions,percevriez,avais perçu,avais perçu,avait perçu,avions perçu,aviez perçu,avaient perçu,percevraient,perçoive,perçoives,perçoive,percevions,perceviez,perçoivent,aurais perçu,aurais perçu,aurait perçu,aurions perçu,auriez perçu,auraient perçu,aurai perçu,auras perçu,aura perçu,aurons perçu,aurez perçu,auront perçu,N/A,perçois,N/A,percevons,percevez,N/A,aie perçu,aies perçu,ait perçu,ayons perçu,ayez perçu,aient perçu,perçusse,perçusses,perçût,perçussions,perçussiez,perçussent,eusse perçu,eusses perçu,eût perçu,eussions perçu,eussiez perçu,eussent perçu,N/A,aie perçu,N/A,ayons perçu,ayez perçu,N/A,eus perçu,eus perçu,eut perçu,eûmes perçu,eûtes perçu,eurent perçu,perçus,perçus,perçut,perçûmes,perçûtes,perçurent,percevant
payer,to pay,FALSE,paye;paie,payes;paies,paye;paie,payons,payez,payent;paient,ai payé,as payé,a payé,avons payé,avez payé,ont payé,payais,payais,payait,payions,payiez,payaient,payerai;paierai,payeras;paieras,payera;paiera,payerons;paierons,payerez;paierez,payeront;paieront,payerais;paierais,payerais;paierais,payerait;paierait,payerions;paierions,payeriez;paieriez,avais payé,avais payé,avait payé,avions payé,aviez payé,avaient payé,payeraient;paieraient,paye;paie,payes;paies,paye;paie,payions,payiez,payent;paient,aurais payé,aurais payé,aurait payé,aurions payé,auriez payé,auraient payé,aurai payé,auras payé,aura payé,aurons payé,aurez payé,auront payé,N/A,paye;paie,N/A,payons,payez,N/A,aie payé,aies payé,ait payé,ayons payé,ayez payé,aient payé,payasse,payasses,payât,payassions,payassiez,payassent,eusse payé,eusses payé,eût payé,eussions payé,eussiez payé,eussent payé,N/A,aie payé,N/A,ayons payé,ayez payé,N/A,eus payé,eus payé,eut payé,eûmes payé,eûtes payé,eurent payé,payai,payas,paya,payâmes,payâtes,payèrent,payant
pécher,to sin,FALSE,pèche,pèches,pèche,péchons,péchez,pèchent,ai péché,as péché,a péché,avons péché,avez péché,ont péché,péchais,péchais,péchait,péchions,péchiez,péchaient,pècherai;pécherai,pècheras;pécheras,pèchera;péchera,pècherons;pécherons,pècherez;pécherez,pècheront;pécheront,pècherais;pécherais,pècherais;pécherais,pècherait;pécherait,pècherions;pécherions,pècheriez;pécheriez,avais péché,avais péché,avait péché,avions péché,aviez péché,avaient péché,pècheraient;pécheraient,pèche,pèches,pèche,péchions,péchiez,pèchent,aurais péché,aurais péché,aurait péché,aurions péché,auriez péché,auraient péché,aurai péché,auras péché,aura péché,aurons péché,aurez péché,auront péché,N/A,pèche,N/A,péchons,péchez,N/A,aie péché,aies péché,ait péché,ayons péché,ayez péché,aient péché,péchasse,péchasses,péchât,péchassions,péchassiez,péchassent,eusse péché,eusses péché,eût péché,eussions péché,eussiez péché,eussent péché,N/A,aie péché,N/A,ayons péché,ayez péché,N/A,eus péché,eus péché,eut péché,eûmes péché,eûtes péché,eurent péché,péchai,péchas,pécha,péchâmes,péchâtes,péchèrent,péchant
perdre,to lose,TRUE,perds,perds,perd,perdons,perdez,perdent,ai perdu,as perdu,a perdu,avons perdu,avez perdu,ont perdu,perdais,perdais,perdait,perdions,perdiez,perdaient,perdrai,perdras,perdra,perdrons,perdrez,perdront,perdrais,perdrais,perdrait,perdrions,perdriez,avais perdu,avais perdu,avait perdu,avions perdu,aviez perdu,avaient perdu,perdraient,perde,perdes,perde,perdions,perdiez,perdent,aurais perdu,aurais perdu,aurait perdu,aurions perdu,auriez perdu,auraient perdu,aurai perdu,auras perdu,aura perdu,aurons perdu,aurez perdu,auront perdu,N/A,perds,N/A,perdons,perdez,N/A,aie perdu,aies perdu,ait perdu,ayons perdu,ayez perdu,aient perdu,perdisse,perdisses,perdît,perdissions,perdissiez,perdissent,eusse perdu,eusses perdu,eût perdu,eussions perdu,eussiez perdu,eussent perdu,N/A,aie perdu,N/A,ayons perdu,ayez perdu,N/A,eus perdu,eus perdu,eut perdu,eûmes perdu,eûtes perdu,eurent perdu,perdis,perdis,perdit,perdîmes,perdîtes,perdirent,perdant
peindre,to paint,TRUE,peins,peins,peint,peignons,peignez,peignent,ai peint,as peint,a peint,avons peint,avez peint,ont peint,peignais,peignais,peignait,peignions,peigniez,peignaient,peindrai,peindras,peindra,peindrons,peindrez,peindront,peindrais,peindrais,peindrait,peindrions,peindriez,avais peint,avais peint,avait peint,avions peint,aviez peint,avaient peint,peindraient,peigne,peignes,peigne,peignions,peigniez,peignent,aurais peint,aurais peint,aurait peint,aurions peint,auriez peint,auraient peint,aurai peint,auras peint,aura peint,aurons peint,aurez peint,auront peint,N/A,peins,N/A,peignons,peignez,N/A,aie peint,aies peint,ait peint,ayons peint,ayez peint,aient peint,peignisse,peignisses,peignît,peignissions,peignissiez,peignissent,eusse peint,eusses peint,eût peint,eussions peint,eussiez peint,eussent peint,N/A,aie peint,N/A,ayons peint,ayez peint,N/A,eus peint,eus peint,eut peint,eûmes peint,eûtes peint,eurent peint,peignis,peignis,peignit,peignîmes,peignîtes,peignirent,peignant
pardonner,to forgive,FALSE,pardonne,pardonnes,pardonne,pardonnons,pardonnez,pardonnent,ai pardonné,as pardonné,a pardonné,avons pardonné,avez pardonné,ont pardonné,pardonnais,pardonnais,pardonnait,pardonnions,pardonniez,pardonnaient,pardonnerai,pardonneras,pardonnera,pardonnerons,pardonnerez,pardonneront,pardonnerais,pardonnerais,pardonnerait,pardonnerions,pardonneriez,avais pardonné,avais pardonné,avait pardonné,avions pardonné,aviez pardonné,avaient pardonné,pardonneraient,pardonne,pardonnes,pardonne,pardonnions,pardonniez,pardonnent,aurais pardonné,aurais pardonné,aurait pardonné,aurions pardonné,auriez pardonné,auraient pardonné,aurai pardonné,auras pardonné,aura pardonné,aurons pardonné,aurez pardonné,auront pardonné,N/A,pardonne,N/A,pardonnons,pardonnez,N/A,aie pardonné,aies pardonné,ait pardonné,ayons pardonné,ayez pardonné,aient pardonné,pardonnasse,pardonnasses,pardonnât,pardonnassions,pardonnassiez,pardonnassent,eusse pardonné,eusses pardonné,eût pardonné,eussions pardonné,eussiez pardonné,eussent pardonné,N/A,aie pardonné,N/A,ayons pardonné,ayez pardonné,N/A,eus pardonné,eus pardonné,eut pardonné,eûmes pardonné,eûtes pardonné,eurent pardonné,pardonnai,pardonnas,pardonna,pardonnâmes,pardonnâtes,pardonnèrent,pardonnant
oublier,to forget,FALSE,oublie,oublies,oublie,oublions,oubliez,oublient,ai oublié,as oublié,a oublié,avons oublié,avez oublié,ont oublié,oubliais,oubliais,oubliait,oubliions,oubliiez,oubliaient,oublierai,oublieras,oubliera,oublierons,oublierez,oublieront,oublierais,oublierais,oublierait,oublierions,oublieriez,avais oublié,avais oublié,avait oublié,avions oublié,aviez oublié,avaient oublié,oublieraient,oublie,oublies,oublie,oubliions,oubliiez,oublient,aurais oublié,aurais oublié,aurait oublié,aurions oublié,auriez oublié,auraient oublié,aurai oublié,auras oublié,aura oublié,aurons oublié,aurez oublié,auront oublié,N/A,oublie,N/A,oublions,oubliez,N/A,aie oublié,aies oublié,ait oublié,ayons oublié,ayez oublié,aient oublié,oubliasse,oubliasses,oubliât,oubliassions,oubliassiez,oubliassent,eusse oublié,eusses oublié,eût oublié,eussions oublié,eussiez oublié,eussent oublié,N/A,aie oublié,N/A,ayons oublié,ayez oublié,N/A,eus oublié,eus oublié,eut oublié,eûmes oublié,eûtes oublié,eurent oublié,oubliai,oublias,oublia,oubliâmes,oubliâtes,oublièrent,oubliant
pénétrer,to enter,FALSE,pénètre,pénètres,pénètre,pénétrons,pénétrez,pénètrent,ai pénétré,as pénétré,a pénétré,avons pénétré,avez pénétré,ont pénétré,pénétrais,pénétrais,pénétrait,pénétrions,pénétriez,pénétraient,pénètrerai;pénétrerai,pénètreras;pénétreras,pénètrera;pénétrera,pénètrerons;pénétrerons,pénètrerez;pénétrerez,pénètreront;pénétreront,pénètrerais;pénétrerais,pénètrerais;pénétrerais,pénètrerait;pénétrerait,pénètrerions;pénétrerions,pénètreriez;pénétreriez,avais pénétré,avais pénétré,avait pénétré,avions pénétré,aviez pénétré,avaient pénétré,pénètreraient;pénétreraient,pénètre,pénètres,pénètre,pénétrions,pénétriez,pénètrent,aurais pénétré,aurais pénétré,aurait pénétré,aurions pénétré,auriez pénétré,auraient pénétré,aurai pénétré,auras pénétré,aura pénétré,aurons pénétré,aurez pénétré,auront pénétré,N/A,pénètre,N/A,pénétrons,pénétrez,N/A,aie pénétré,aies pénétré,ait pénétré,ayons pénétré,ayez pénétré,aient pénétré,pénétrasse,pénétrasses,pénétrât,pénétrassions,pénétrassiez,pénétrassent,eusse pénétré,eusses pénétré,eût pénétré,eussions pénétré,eussiez pénétré,eussent pénétré,N/A,aie pénétré,N/A,ayons pénétré,ayez pénétré,N/A,eus pénétré,eus pénétré,eut pénétré,eûmes pénétré,eûtes pénétré,eurent pénétré,pénétrai,pénétras,pénétra,pénétrâmes,pénétrâtes,pénétrèrent,pénétrant
pondre,to lay (an egg),TRUE,ponds,ponds,pond,pondons,pondez,pondent,ai pondu,as pondu,a pondu,avons pondu,avez pondu,ont pondu,pondais,pondais,pondait,pondions,pondiez,pondaient,pondrai,pondras,pondra,pondrons,pondrez,pondront,pondrais,pondrais,pondrait,pondrions,pondriez,avais pondu,avais pondu,avait pondu,avions pondu,aviez pondu,avaient pondu,pondraient,ponde,pondes,ponde,pondions,pondiez,pondent,aurais pondu,aurais pondu,aurait pondu,aurions pondu,auriez pondu,auraient pondu,aurai pondu,auras pondu,aura pondu,aurons pondu,aurez pondu,auront pondu,N/A,ponds,N/A,pondons,pondez,N/A,aie pondu,aies pondu,ait pondu,ayons pondu,ayez pondu,aient pondu,pondisse,pondisses,pondît,pondissions,pondissiez,pondissent,eusse pondu,eusses pondu,eût pondu,eussions pondu,eussiez pondu,eussent pondu,N/A,aie pondu,N/A,ayons pondu,ayez pondu,N/A,eus pondu,eus pondu,eut pondu,eûmes pondu,eûtes pondu,eurent pondu,pondis,pondis,pondit,pondîmes,pondîtes,pondirent,pondant
peser,to weigh,FALSE,pèse,pèses,pèse,pesons,pesez,pèsent,ai pesé,as pesé,a pesé,avons pesé,avez pesé,ont pesé,pesais,pesais,pesait,pesions,pesiez,pesaient,pèserai,pèseras,pèsera,pèserons,pèserez,pèseront,pèserais,pèserais,pèserait,pèserions,pèseriez,avais pesé,avais pesé,avait pesé,avions pesé,aviez pesé,avaient pesé,pèseraient,pèse,pèses,pèse,pesions,pesiez,pèsent,aurais pesé,aurais pesé,aurait pesé,aurions pesé,auriez pesé,auraient pesé,aurai pesé,auras pesé,aura pesé,aurons pesé,aurez pesé,auront pesé,N/A,pèse,N/A,pesons,pesez,N/A,aie pesé,aies pesé,ait pesé,ayons pesé,ayez pesé,aient pesé,pesasse,pesasses,pesât,pesassions,pesassiez,pesassent,eusse pesé,eusses pesé,eût pesé,eussions pesé,eussiez pesé,eussent pesé,N/A,aie pesé,N/A,ayons pesé,ayez pesé,N/A,eus pesé,eus pesé,eut pesé,eûmes pesé,eûtes pesé,eurent pesé,pesai,pesas,pesa,pesâmes,pesâtes,pesèrent,pesant
planter,to plant/to crash (pc),FALSE,plante,plantes,plante,plantons,plantez,plantent,ai planté,as planté,a planté,avons planté,avez planté,ont planté,plantais,plantais,plantait,plantions,plantiez,plantaient,planterai,planteras,plantera,planterons,planterez,planteront,planterais,planterais,planterait,planterions,planteriez,avais planté,avais planté,avait planté,avions planté,aviez planté,avaient planté,planteraient,plante,plantes,plante,plantions,plantiez,plantent,aurais planté,aurais planté,aurait planté,aurions planté,auriez planté,auraient planté,aurai planté,auras planté,aura planté,aurons planté,aurez planté,auront planté,N/A,plante,N/A,plantons,plantez,N/A,aie planté,aies planté,ait planté,ayons planté,ayez planté,aient planté,plantasse,plantasses,plantât,plantassions,plantassiez,plantassent,eusse planté,eusses planté,eût planté,eussions planté,eussiez planté,eussent planté,N/A,aie planté,N/A,ayons planté,ayez planté,N/A,eus planté,eus planté,eut planté,eûmes planté,eûtes planté,eurent planté,plantai,plantas,planta,plantâmes,plantâtes,plantèrent,plantant
pouvoir,to be able,TRUE,peux,peux,peut,pouvons,pouvez,peuvent,ai pu,as pu,a pu,avons pu,avez pu,ont pu,pouvais,pouvais,pouvait,pouvions,pouviez,pouvaient,pourrai,pourras,pourra,pourrons,pourz,pourront,pourrais,pourrais,pourrait,pourrions,pourriez,avais pu,avais pu,avait pu,avions pu,aviez pu,avaient pu,pourraient,puisse,puisses,puisse,puissions,puissiez,puissent,aurais pu,aurais pu,aurait pu,aurions pu,auriez pu,auraient pu,aurai pu,auras pu,aura pu,aurons pu,auz pu,auront pu,N/A,N/A,N/A,N/A,N/A,N/A,aie pu,aies pu,ait pu,ayons pu,ayez pu,aient pu,pusse,pusses,pût,pussions,pussiez,pussent,eusse pu,eusses pu,eût pu,eussions pu,eussiez pu,eussent pu,N/A,aie pu,N/A,ayons pu,ayez pu,N/A,eus pu,eus pu,eut pu,eûmes pu,eûtes pu,eunt pu,pus,pus,put,pûmes,pûtes,punt,pouvant
poindre,to dawn,TRUE,poins,poins,point,poignons,poignez,poignent,ai point,as point,a point,avons point,avez point,ont point,poignais,poignais,poignait,poignions,poigniez,poignaient,poindrai,poindras,poindra,poindrons,poindrez,poindront,poindrais,poindrais,poindrait,poindrions,poindriez,avais point,avais point,avait point,avions point,aviez point,avaient point,poindraient,poigne,poignes,poigne,poignions,poigniez,poignent,aurais point,aurais point,aurait point,aurions point,auriez point,auraient point,aurai point,auras point,aura point,aurons point,aurez point,auront point,N/A,poins,N/A,poignons,poignez,N/A,aie point,aies point,ait point,ayons point,ayez point,aient point,poignisse,poignisses,poignît,poignissions,poignissiez,poignissent,eusse point,eusses point,eût point,eussions point,eussiez point,eussent point,N/A,aie point,N/A,ayons point,ayez point,N/A,eus point,eus point,eut point,eûmes point,eûtes point,eurent point,poignis,poignis,poignit,poignîmes,poignîtes,poignirent,poignant
plaire,to please,TRUE,plais,plais,plaît;plait,plaisons,plaisez,plaisent,ai plu,as plu,a plu,avons plu,avez plu,ont plu,plaisais,plaisais,plaisait,plaisions,plaisiez,plaisaient,plairai,plairas,plaira,plairons,plairez,plairont,plairais,plairais,plairait,plairions,plairiez,avais plu,avais plu,avait plu,avions plu,aviez plu,avaient plu,plairaient,plaise,plaises,plaise,plaisions,plaisiez,plaisent,aurais plu,aurais plu,aurait plu,aurions plu,auriez plu,auraient plu,aurai plu,auras plu,aura plu,aurons plu,aurez plu,auront plu,N/A,plais,N/A,plaisons,plaisez,N/A,aie plu,aies plu,ait plu,ayons plu,ayez plu,aient plu,plusse,plusses,plût,plussions,plussiez,plussent,eusse plu,eusses plu,eût plu,eussions plu,eussiez plu,eussent plu,N/A,aie plu,N/A,ayons plu,ayez plu,N/A,eus plu,eus plu,eut plu,eûmes plu,eûtes plu,eurent plu,plus,plus,plut,plûmes,plûtes,plurent,plaisant
poser,to put,FALSE,pose,poses,pose,posons,posez,posent,ai posé,as posé,a posé,avons posé,avez posé,ont posé,posais,posais,posait,posions,posiez,posaient,poserai,poseras,posera,poserons,poserez,poseront,poserais,poserais,poserait,poserions,poseriez,avais posé,avais posé,avait posé,avions posé,aviez posé,avaient posé,poseraient,pose,poses,pose,posions,posiez,posent,aurais posé,aurais posé,aurait posé,aurions posé,auriez posé,auraient posé,aurai posé,auras posé,aura posé,aurons posé,aurez posé,auront posé,N/A,pose,N/A,posons,posez,N/A,aie posé,aies posé,ait posé,ayons posé,ayez posé,aient posé,posasse,posasses,posât,posassions,posassiez,posassent,eusse posé,eusses posé,eût posé,eussions posé,eussiez posé,eussent posé,N/A,aie posé,N/A,ayons posé,ayez posé,N/A,eus posé,eus posé,eut posé,eûmes posé,eûtes posé,eurent posé,posai,posas,posa,posâmes,posâtes,posèrent,posant
pleurer,to cry,FALSE,pleure,pleures,pleure,pleurons,pleurez,pleurent,ai pleuré,as pleuré,a pleuré,avons pleuré,avez pleuré,ont pleuré,pleurais,pleurais,pleurait,pleurions,pleuriez,pleuraient,pleurerai,pleureras,pleurera,pleurerons,pleurerez,pleureront,pleurerais,pleurerais,pleurerait,pleurerions,pleureriez,avais pleuré,avais pleuré,avait pleuré,avions pleuré,aviez pleuré,avaient pleuré,pleureraient,pleure,pleures,pleure,pleurions,pleuriez,pleurent,aurais pleuré,aurais pleuré,aurait pleuré,aurions pleuré,auriez pleuré,auraient pleuré,aurai pleuré,auras pleuré,aura pleuré,aurons pleuré,aurez pleuré,auront pleuré,N/A,pleure,N/A,pleurons,pleurez,N/A,aie pleuré,aies pleuré,ait pleuré,ayons pleuré,ayez pleuré,aient pleuré,pleurasse,pleurasses,pleurât,pleurassions,pleurassiez,pleurassent,eusse pleuré,eusses pleuré,eût pleuré,eussions pleuré,eussiez pleuré,eussent pleuré,N/A,aie pleuré,N/A,ayons pleuré,ayez pleuré,N/A,eus pleuré,eus pleuré,eut pleuré,eûmes pleuré,eûtes pleuré,eurent pleuré,pleurai,pleuras,pleura,pleurâmes,pleurâtes,pleurèrent,pleurant
